,Player Name,Salary,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
109,Richaun Holmes,11215260,C,29,SAC,42,1,8.3,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.646,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1,holmeri01
110,Dwight Powell,11080125,C,31,DAL,76,64,19.2,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,poweldw01
111,Paolo Banchero,11055120,PF,20,ORL,72,72,33.8,6.7,15.6,0.427,1.2,4.0,0.298,5.5,11.6,0.471,0.465,5.5,7.4,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,banchpa01
112,RJ Barrett,10900634,SG,22,NYK,73,73,33.9,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4.0,5.4,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,barrerj01
113,Bobby Portis,10843350,PF,27,MIL,70,22,26.0,5.7,11.5,0.496,1.4,3.7,0.37,4.3,7.8,0.555,0.555,1.4,1.8,0.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1,portibo01
114,DeAndre Jordan,10733758,C,34,DEN,39,8,15.0,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,0.77,0.6,1.2,0.458,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,jordade01
115,Anthony Edwards,10733400,SG,21,MIN,79,79,36.0,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,edwaran01
116,Robert Williams,10714287,C,25,BOS,35,20,23.5,3.6,4.9,0.747,0.0,0.0,0.0,3.6,4.8,0.751,0.747,0.7,1.2,0.61,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0,williro04
117,Cade Cunningham,10552800,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,cunnica01
118,Mo Bamba,10300000,C,24,LAL/ORL,49,7,15.7,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,bambamo01
119,Talen Horton-Tucker,10260000,SG,22,UTA,65,20,20.2,4.0,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,0.467,1.9,2.6,0.75,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,hortota01
120,Jae Crowder,10183800,PF,32,MIL,18,3,18.9,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.606,0.6,0.7,0.833,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9,crowdja01
121,Ivica Zubac,10123457,C,25,LAC,76,76,28.6,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8,zubaciv01
122,Reggie Bullock,10012800,SF,31,DAL,78,55,30.3,2.5,6.0,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.569,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,bullore01
123,Alec Burks,10012800,SG,31,DET,51,8,22.0,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,0.544,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,burksal01
124,De'Andre Hunter,9835881,SF,25,ATL,67,67,31.7,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.522,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,huntede01
125,James Wiseman,9603360,C,21,GSW/DET,45,22,19.3,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,0.563,1.5,2.2,0.701,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10.0,wisemja01
126,Landry Shamet,9500000,SG,25,PHO,40,9,20.2,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,0.502,1.1,1.3,0.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7,shamela01
127,Malik Monk,9472219,SG,24,SAC,77,0,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.8,5.2,0.538,0.538,2.4,2.7,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,monkma01
128,Jalen Green,9441840,SG,20,HOU,76,76,34.2,7.4,17.9,0.416,2.5,7.3,0.338,5.0,10.6,0.471,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,greenja05
129,Jakob Poeltl,9398148,C,27,SAS/TOR,72,71,26.5,5.4,8.6,0.629,0.0,0.0,0.0,5.4,8.6,0.63,0.629,1.7,2.8,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5,poeltja01
130,Nerlens Noel,9391069,C,28,BRK/DET,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,noelne01
131,Royce O'Neale,9200000,SF,29,BRK,76,53,31.7,3.0,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,onealro01
132,Monte Morris,9125000,PG,27,WAS,62,61,27.3,4.0,8.3,0.48,1.3,3.3,0.382,2.7,5.0,0.543,0.555,1.0,1.2,0.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3,morrimo01
133,Mason Plumlee,9080417,C,32,LAC/CHO,79,60,26.0,4.2,6.1,0.68,0.0,0.0,,4.2,6.1,0.68,0.68,2.5,4.0,0.636,2.9,6.0,8.9,3.1,0.6,0.6,1.5,2.7,10.8,plumlma01
134,Alex Caruso,9030000,PG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2.0,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,carusal01
135,Maxi Kleber,9000000,PF,31,DAL,37,5,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,klebima01
136,Grayson Allen,8925000,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,allengr01
137,Darius Garland,8920794,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,garlada01
138,Isaiah Hartenstein,8854879,C,24,NYK,82,8,19.8,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4.0,6.5,1.2,0.6,0.8,0.8,2.6,5.0,harteis01
139,Kyle Anderson,8780488,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,anderky01
140,Victor Oladipo,8750000,SG,30,MIA,42,2,26.3,3.8,9.6,0.397,1.7,5.0,0.33,2.1,4.5,0.471,0.484,1.4,1.9,0.747,0.4,2.7,3.0,3.5,1.4,0.3,2.1,2.4,10.7,oladivi01
141,Daniel Theis,8694369,C,30,IND,7,1,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,theisda01
142,LaMelo Ball,8623920,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,ballla01
143,Seth Curry,8496653,SG,32,BRK,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,curryse01
144,Evan Mobley,8478720,PF,21,CLE,79,79,34.4,6.6,12.0,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9.0,2.8,0.8,1.5,1.8,2.8,16.2,mobleev01
145,Gary Payton II,8300000,SG,30,GSW/POR,22,1,16.7,1.9,3.1,0.594,0.6,1.2,0.5,1.3,2.0,0.651,0.688,0.3,0.3,0.857,1.1,2.0,3.1,1.4,1.0,0.2,0.7,2.0,4.6,paytoga02
146,Dewayne Dedmon,8283688,C,33,PHI/MIA,38,1,11.2,2.0,4.0,0.51,0.3,1.0,0.308,1.7,2.9,0.58,0.55,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2.0,5.2,dedmode01
147,De'Anthony Melton,8250000,SG,24,PHI,77,58,27.9,3.6,8.5,0.425,2.0,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,meltode01
148,JaMychal Green,8200000,PF,32,GSW,57,1,14.0,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,greenja01
149,Keegan Murray,8008440,SF,22,SAC,80,78,29.8,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1.0,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,12.2,murrake02
150,Kevon Looney,8000000,C,26,GSW,82,70,23.9,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0,looneke01
151,Thaddeus Young,8000000,PF,34,TOR,54,9,14.7,2.0,3.7,0.545,0.1,0.6,0.176,1.9,3.0,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4,youngth01
152,Delon Wright,7804878,PG,30,WAS,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,wrighde01
153,Patrick Williams,7775400,PF,21,CHI,82,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1.0,3.0,4.0,1.2,0.9,0.9,1.2,1.8,10.2,willipa01
154,Scottie Barnes,7644600,SF,21,TOR,77,76,34.8,6.0,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,0.487,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,15.3,barnesc01
155,Cedi Osman,7426088,SF,27,CLE,77,2,20.1,3.1,6.9,0.451,1.5,4.1,0.372,1.6,2.8,0.564,0.56,1.0,1.4,0.694,0.3,2.0,2.3,1.5,0.5,0.1,0.7,1.6,8.7,osmande01
156,Coby White,7413955,SG,22,CHI,74,2,23.4,3.6,8.0,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1.0,1.6,9.7,whiteco01
157,Zach Collins,7350000,C,25,SAS,63,26,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,0.568,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6,colliza01
158,Jaden Ivey,7252200,SG,20,DET,74,73,31.1,5.5,13.3,0.416,1.6,4.7,0.343,3.9,8.6,0.457,0.477,3.6,4.8,0.747,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,iveyja01
159,Taurean Prince,7100000,PF,28,MIN,54,4,22.1,3.3,7.0,0.467,1.4,3.6,0.381,1.9,3.4,0.557,0.565,1.2,1.4,0.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,princta02
160,Jae'Sean Tate,7065217,SF,27,HOU,31,7,21.8,3.5,7.4,0.48,0.4,1.5,0.283,3.1,5.9,0.53,0.509,1.6,2.2,0.725,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1,tateja01
161,Isaac Okoro,7040880,SF,22,CLE,76,46,21.7,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.582,1.0,1.4,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,okorois01
162,Cody Martin,7000000,SF,27,CHO,7,0,19.1,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,0.431,0.6,1.0,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,martico01
163,Jalen Suggs,6922320,SG,21,ORL,53,19,23.5,3.5,8.4,0.419,1.2,3.8,0.327,2.3,4.6,0.496,0.493,1.6,2.2,0.723,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,9.9,suggsja01
164,Jaxson Hayes,6803012,C,22,NOP,47,2,13.0,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.561,1.2,1.8,0.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.4,5.0,hayesja02
165,Khem Birch,6667500,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,birchkh01
166,Bennedict Mathurin,6586800,SG,20,IND,78,17,28.5,5.3,12.2,0.434,1.3,4.0,0.323,4.0,8.2,0.488,0.487,4.8,5.8,0.828,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7,mathube01
167,Bruce Brown,6479000,SF,26,DEN,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,brownbr01
168,Caleb Martin,6479000,SF,27,MIA,71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,0.54,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6,martica02
169,Joe Ingles,6479000,SF,35,MIL,46,0,22.7,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.603,0.4,0.5,0.857,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,inglejo01
170,Onyeka Okongwu,6395160,C,22,ATL,80,18,23.1,4.0,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,0.642,1.9,2.5,0.781,2.7,4.5,7.2,1.0,0.7,1.3,1.0,3.1,9.9,okongon01
171,Josh Giddey,6287400,PF,20,OKC,76,76,31.1,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,0.516,1.4,1.9,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,giddejo01
172,Rui Hachimura,6263188,PF,24,LAL/WAS,63,9,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,hachiru01
173,Rudy Gay,6184500,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2,gayru01
174,Jevon Carter,6025000,PG,27,MIL,81,39,22.3,3.0,7.0,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.549,0.4,0.5,0.816,0.4,2.1,2.5,2.4,0.8,0.4,1.0,2.0,8.0,carteje01
175,Shaedon Sharpe,6012960,SG,19,POR,80,15,22.2,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.551,0.9,1.3,0.714,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,9.9,sharpsh01
176,Cameron Payne,6000000,PG,28,PHO,48,15,20.2,3.9,9.4,0.415,1.4,3.9,0.368,2.5,5.6,0.448,0.49,1.0,1.3,0.766,0.3,2.0,2.2,4.5,0.7,0.2,1.7,1.8,10.3,payneca01
177,Justin Holiday,5987975,SF,33,DAL/ATL,46,2,15.3,1.7,4.4,0.377,1.0,3.1,0.322,0.7,1.3,0.508,0.49,0.1,0.2,0.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,holidju01
178,Cam Reddish,5954454,SF,23,NYK/POR,40,20,24.8,3.5,7.8,0.446,1.1,3.6,0.313,2.4,4.2,0.56,0.518,1.6,1.9,0.853,0.5,1.8,2.2,1.4,1.0,0.4,1.2,1.8,9.7,reddica01
179,Cameron Johnson,5887899,PF,26,BRK/PHO,42,41,28.5,5.3,11.3,0.47,2.5,6.1,0.404,2.9,5.2,0.548,0.579,2.4,2.9,0.842,0.8,3.6,4.4,1.9,1.2,0.3,0.9,2.0,15.5,johnsca02
180,Ricky Rubio,5853659,PG,32,CLE,33,2,17.2,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.402,0.8,1.1,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2,rubiori01
181,Killian Hayes,5837760,PG,21,DET,76,56,28.3,4.0,10.7,0.377,1.1,3.8,0.28,3.0,7.0,0.429,0.426,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,hayeski01
182,Jonathan Kuminga,5739840,PF,20,GSW,67,16,20.8,3.9,7.4,0.525,0.8,2.2,0.37,3.1,5.2,0.59,0.579,1.3,2.1,0.652,1.0,2.4,3.4,1.9,0.6,0.5,1.4,2.3,9.9,kuminjo01
183,Pat Connaughton,5728393,SF,30,MIL,61,33,23.7,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.521,0.4,0.7,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,connapa01
184,Tyler Herro,5722116,SG,23,MIA,67,67,34.9,7.3,16.6,0.439,3.0,8.0,0.378,4.2,8.5,0.497,0.531,2.5,2.7,0.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,herroty01
185,Romeo Langford,5634257,SG,23,SAS,43,21,19.6,2.8,6.0,0.467,0.4,1.4,0.262,2.4,4.6,0.53,0.498,0.9,1.3,0.696,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9,langfro01
186,Dyson Daniels,5508600,PG,19,NOP,59,11,17.7,1.5,3.5,0.418,0.5,1.5,0.314,1.0,2.1,0.492,0.483,0.4,0.7,0.65,0.6,2.6,3.2,2.3,0.7,0.2,1.0,1.7,3.8,daniedy01
187,JaVale McGee,5461219,C,35,DAL,42,7,8.5,1.9,3.0,0.64,0.0,0.1,0.4,1.9,2.9,0.65,0.648,0.6,1.0,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,mcgeeja01
188,Goga Bitadze,5377520,C,23,ORL/IND,38,1,12.0,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.576,0.6,1.1,0.548,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,bitadgo01
189,Obi Toppin,5348280,PF,24,NYK,67,5,15.7,2.8,6.3,0.446,1.3,3.7,0.344,1.5,2.6,0.593,0.548,0.6,0.7,0.809,0.4,2.4,2.8,1.0,0.3,0.2,0.6,1.0,7.4,toppiob01
190,Franz Wagner,5258280,SF,21,ORL,80,80,32.6,6.8,14.0,0.485,1.6,4.5,0.361,5.2,9.5,0.544,0.543,3.4,4.0,0.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6,wagnefr01
191,Kendrick Nunn,5250000,SG,27,LAL/WAS,70,2,13.8,2.7,6.4,0.424,1.1,3.2,0.354,1.6,3.2,0.493,0.512,0.5,0.6,0.854,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7.1,nunnke01
192,Hamidou Diallo,5200000,SF,24,DET,56,0,17.8,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,0.58,1.6,2.6,0.588,1.0,2.4,3.5,1.0,0.9,0.3,1.3,2.2,9.3,diallha01
193,Cory Joseph,5155500,PG,31,DET,62,2,19.8,2.4,5.7,0.427,1.1,2.9,0.389,1.3,2.8,0.468,0.527,0.9,1.2,0.792,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,6.9,josepco01
194,Garrett Temple,5155500,SG,36,NOP,25,0,6.5,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.522,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2.0,templga01
195,Torrey Craig,5121951,PF,32,PHO,79,60,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.556,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,craigto01
196,Jeremy Sochan,5063520,PF,19,SAS,56,53,26.0,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,0.483,1.4,2.1,0.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,sochaje01
197,Nickeil Alexander-Walker,5009633,SG,24,MIN/UTA,59,3,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,alexani01
198,Furkan Korkmaz,5000000,SG,25,PHI,37,0,9.5,1.3,3.0,0.432,0.5,1.2,0.391,0.8,1.8,0.462,0.514,0.7,1.0,0.722,0.2,1.0,1.1,0.6,0.3,0.1,0.6,0.5,3.8,korkmfu01
199,Deni Avdija,4916160,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,avdijde01
200,Davion Mitchell,4833600,PG,24,SAC,80,9,18.1,2.3,5.0,0.454,0.8,2.5,0.32,1.5,2.5,0.584,0.533,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6,mitchda01
201,Johnny Davis,4810320,SG,20,WAS,28,5,15.1,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.436,0.5,1.0,0.519,0.4,2.0,2.3,1.0,0.4,0.3,0.6,1.7,5.8,davisjo06
202,Ty Jerome,4728948,SG,25,GSW,45,2,18.1,2.6,5.4,0.488,0.8,2.0,0.389,1.8,3.4,0.546,0.56,0.8,0.9,0.927,0.2,1.6,1.7,3.0,0.5,0.1,0.7,1.4,6.9,jeromty01
203,Jalen Smith,4670160,C,22,IND,68,31,18.8,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,0.53,1.5,2.0,0.759,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,9.4,smithja04
204,Ziaire Williams,4591680,SF,21,MEM,37,4,15.2,2.3,5.3,0.429,0.7,2.6,0.258,1.6,2.7,0.596,0.492,0.5,0.6,0.773,0.4,1.7,2.1,0.9,0.4,0.2,1.0,1.6,5.7,willizi02
205,Ousmane Dieng,4569840,PF,19,OKC,39,1,14.6,1.9,4.6,0.42,0.7,2.5,0.265,1.3,2.1,0.602,0.492,0.4,0.6,0.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,diengou01
206,Jeff Green,4500000,PF,36,DEN,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,greenje02
207,Donte DiVincenzo,4500000,SG,26,GSW,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,divindo01
208,Devin Vassell,4437000,SG,22,SAS,38,32,31.0,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,0.525,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,vassede01
209,Matisse Thybulle,4379526,SF-SG,25,PHI/POR,71,28,16.9,1.5,3.6,0.435,0.8,2.1,0.365,0.8,1.5,0.533,0.542,0.3,0.4,0.679,0.6,1.4,2.0,0.7,1.2,0.5,0.3,1.6,4.1,thybuma01
210,Jarred Vanderbilt,4374000,PF,23,LAL/UTA,78,65,24.1,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,0.58,1.2,1.8,0.691,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9,vandeja01
211,James Bouknight,4362240,SG,22,CHO,34,0,15.1,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,bouknja01
212,Brandon Clarke,4343919,PF,26,MEM,56,8,19.5,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,clarkbr01
213,Jalen Williams,4341480,SG,21,OKC,75,62,30.3,5.5,10.6,0.521,1.0,2.7,0.356,4.5,7.9,0.579,0.567,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,willija06
214,Grant Williams,4306281,PF,24,BOS,79,23,25.9,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,8.1,willigr01
215,Darius Bazley,4264628,C,22,OKC/PHO,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,bazleda01
216,Tyrese Haliburton,4215120,PG,22,IND,56,56,33.6,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,halibty01
217,Nassir Little,4171548,SF,22,POR,54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.538,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,littlna01
218,Jalen Duren,4124280,C,19,DET,67,31,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,durenja01
